geneID	pathway
103988	glycolysis_gluconeogenesis
106557	glycolysis_gluconeogenesis
110695	glycolysis_gluconeogenesis
11522	glycolysis_gluconeogenesis
11529	glycolysis_gluconeogenesis
11532	glycolysis_gluconeogenesis
11669	glycolysis_gluconeogenesis
11670	glycolysis_gluconeogenesis
11671	glycolysis_gluconeogenesis
11674	glycolysis_gluconeogenesis
11676	glycolysis_gluconeogenesis
12183	glycolysis_gluconeogenesis
13382	glycolysis_gluconeogenesis
433182	glycolysis_gluconeogenesis
13807	glycolysis_gluconeogenesis
13808	glycolysis_gluconeogenesis
14120	glycolysis_gluconeogenesis
14121	glycolysis_gluconeogenesis
14377	glycolysis_gluconeogenesis
14378	glycolysis_gluconeogenesis
14433	glycolysis_gluconeogenesis
14447	glycolysis_gluconeogenesis
14751	glycolysis_gluconeogenesis
15275	glycolysis_gluconeogenesis
15277	glycolysis_gluconeogenesis
16828	glycolysis_gluconeogenesis
16832	glycolysis_gluconeogenesis
16833	glycolysis_gluconeogenesis
18534	glycolysis_gluconeogenesis
18597	glycolysis_gluconeogenesis
18598	glycolysis_gluconeogenesis
18641	glycolysis_gluconeogenesis
18642	glycolysis_gluconeogenesis
18648	glycolysis_gluconeogenesis
18655	glycolysis_gluconeogenesis
18663	glycolysis_gluconeogenesis
18746	glycolysis_gluconeogenesis
18770	glycolysis_gluconeogenesis
212032	glycolysis_gluconeogenesis
216019	glycolysis_gluconeogenesis
21991	glycolysis_gluconeogenesis
230163	glycolysis_gluconeogenesis
235339	glycolysis_gluconeogenesis
26876	glycolysis_gluconeogenesis
27402	glycolysis_gluconeogenesis
319625	glycolysis_gluconeogenesis
353204	glycolysis_gluconeogenesis
56012	glycolysis_gluconeogenesis
56421	glycolysis_gluconeogenesis
56752	glycolysis_gluconeogenesis
56847	glycolysis_gluconeogenesis
58810	glycolysis_gluconeogenesis
60525	glycolysis_gluconeogenesis
621603	glycolysis_gluconeogenesis
72157	glycolysis_gluconeogenesis
67689	glycolysis_gluconeogenesis
68263	glycolysis_gluconeogenesis
68738	glycolysis_gluconeogenesis
72141	glycolysis_gluconeogenesis
66681	glycolysis_gluconeogenesis
72535	glycolysis_gluconeogenesis
74551	glycolysis_gluconeogenesis
104112	citrate_cycle
11428	citrate_cycle
11429	citrate_cycle
12974	citrate_cycle
13382	citrate_cycle
14194	citrate_cycle
15926	citrate_cycle
15929	citrate_cycle
170718	citrate_cycle
17448	citrate_cycle
17449	citrate_cycle
18293	citrate_cycle
18534	citrate_cycle
18563	citrate_cycle
18597	citrate_cycle
18598	citrate_cycle
20916	citrate_cycle
20917	citrate_cycle
235339	citrate_cycle
239017	citrate_cycle
269951	citrate_cycle
27402	citrate_cycle
56451	citrate_cycle
66052	citrate_cycle
66925	citrate_cycle
66945	citrate_cycle
67680	citrate_cycle
67834	citrate_cycle
68263	citrate_cycle
71832	citrate_cycle
74551	citrate_cycle
78920	citrate_cycle
100198	pentose_phosphate_pathway
110208	pentose_phosphate_pathway
110639	pentose_phosphate_pathway
11674	pentose_phosphate_pathway
11676	pentose_phosphate_pathway
14120	pentose_phosphate_pathway
14121	pentose_phosphate_pathway
14380	pentose_phosphate_pathway
14381	pentose_phosphate_pathway
14751	pentose_phosphate_pathway
18641	pentose_phosphate_pathway
18642	pentose_phosphate_pathway
19139	pentose_phosphate_pathway
19733	pentose_phosphate_pathway
19895	pentose_phosphate_pathway
21351	pentose_phosphate_pathway
21881	pentose_phosphate_pathway
230163	pentose_phosphate_pathway
232449	pentose_phosphate_pathway
328099	pentose_phosphate_pathway
353204	pentose_phosphate_pathway
56421	pentose_phosphate_pathway
66171	pentose_phosphate_pathway
66646	pentose_phosphate_pathway
72157	pentose_phosphate_pathway
71336	pentose_phosphate_pathway
66681	pentose_phosphate_pathway
74419	pentose_phosphate_pathway
75456	pentose_phosphate_pathway
83553	pentose_phosphate_pathway
100559	pentose_and_glucuronate_interconversions
100727	pentose_and_glucuronate_interconversions
102448	pentose_and_glucuronate_interconversions
110006	pentose_and_glucuronate_interconversions
112417	pentose_and_glucuronate_interconversions
11669	pentose_and_glucuronate_interconversions
11671	pentose_and_glucuronate_interconversions
11677	pentose_and_glucuronate_interconversions
11997	pentose_and_glucuronate_interconversions
14187	pentose_and_glucuronate_interconversions
16591	pentose_and_glucuronate_interconversions
216558	pentose_and_glucuronate_interconversions
22235	pentose_and_glucuronate_interconversions
22236	pentose_and_glucuronate_interconversions
22238	pentose_and_glucuronate_interconversions
231396	pentose_and_glucuronate_interconversions
243085	pentose_and_glucuronate_interconversions
394430	pentose_and_glucuronate_interconversions
394432	pentose_and_glucuronate_interconversions
394433	pentose_and_glucuronate_interconversions
394434	pentose_and_glucuronate_interconversions
394435	pentose_and_glucuronate_interconversions
394436	pentose_and_glucuronate_interconversions
552899	pentose_and_glucuronate_interconversions
66646	pentose_and_glucuronate_interconversions
67861	pentose_and_glucuronate_interconversions
67880	pentose_and_glucuronate_interconversions
68631	pentose_and_glucuronate_interconversions
71755	pentose_and_glucuronate_interconversions
71773	pentose_and_glucuronate_interconversions
72094	pentose_and_glucuronate_interconversions
72535	pentose_and_glucuronate_interconversions
94215	pentose_and_glucuronate_interconversions
94284	pentose_and_glucuronate_interconversions
110119	fructose_and_mannose_metabolism
11674	fructose_and_mannose_metabolism
11676	fructose_and_mannose_metabolism
11677	fructose_and_mannose_metabolism
11997	fructose_and_mannose_metabolism
14120	fructose_and_mannose_metabolism
14121	fructose_and_mannose_metabolism
14187	fructose_and_mannose_metabolism
15275	fructose_and_mannose_metabolism
15277	fructose_and_mannose_metabolism
16548	fructose_and_mannose_metabolism
170768	fructose_and_mannose_metabolism
18639	fructose_and_mannose_metabolism
18640	fructose_and_mannose_metabolism
18641	fructose_and_mannose_metabolism
18642	fructose_and_mannose_metabolism
20322	fructose_and_mannose_metabolism
212032	fructose_and_mannose_metabolism
216019	fructose_and_mannose_metabolism
218138	fructose_and_mannose_metabolism
219135	fructose_and_mannose_metabolism
21991	fructose_and_mannose_metabolism
22122	fructose_and_mannose_metabolism
230163	fructose_and_mannose_metabolism
270198	fructose_and_mannose_metabolism
29858	fructose_and_mannose_metabolism
331026	fructose_and_mannose_metabolism
353204	fructose_and_mannose_metabolism
53332	fructose_and_mannose_metabolism
54128	fructose_and_mannose_metabolism
54384	fructose_and_mannose_metabolism
56421	fructose_and_mannose_metabolism
67861	fructose_and_mannose_metabolism
69080	fructose_and_mannose_metabolism
75454	fructose_and_mannose_metabolism
75540	fructose_and_mannose_metabolism
77116	fructose_and_mannose_metabolism
83702	fructose_and_mannose_metabolism
103988	galactose_metabolism
11605	galactose_metabolism
11677	galactose_metabolism
11997	galactose_metabolism
12091	galactose_metabolism
14187	galactose_metabolism
14377	galactose_metabolism
14378	galactose_metabolism
14387	galactose_metabolism
14430	galactose_metabolism
14595	galactose_metabolism
14635	galactose_metabolism
15275	galactose_metabolism
15277	galactose_metabolism
16770	galactose_metabolism
18641	galactose_metabolism
18642	galactose_metabolism
212032	galactose_metabolism
216019	galactose_metabolism
216558	galactose_metabolism
226413	galactose_metabolism
232714	galactose_metabolism
53418	galactose_metabolism
56421	galactose_metabolism
72157	galactose_metabolism
67861	galactose_metabolism
69976	galactose_metabolism
69983	galactose_metabolism
66681	galactose_metabolism
74246	galactose_metabolism
76051	galactose_metabolism
100559	ascorbate_and_aldarate_metabolism
100727	ascorbate_and_aldarate_metabolism
110695	ascorbate_and_aldarate_metabolism
112417	ascorbate_and_aldarate_metabolism
11669	ascorbate_and_aldarate_metabolism
11671	ascorbate_and_aldarate_metabolism
19733	ascorbate_and_aldarate_metabolism
22235	ascorbate_and_aldarate_metabolism
22236	ascorbate_and_aldarate_metabolism
22238	ascorbate_and_aldarate_metabolism
231396	ascorbate_and_aldarate_metabolism
243085	ascorbate_and_aldarate_metabolism
268756	ascorbate_and_aldarate_metabolism
394430	ascorbate_and_aldarate_metabolism
394432	ascorbate_and_aldarate_metabolism
394433	ascorbate_and_aldarate_metabolism
394434	ascorbate_and_aldarate_metabolism
394435	ascorbate_and_aldarate_metabolism
394436	ascorbate_and_aldarate_metabolism
552899	ascorbate_and_aldarate_metabolism
56727	ascorbate_and_aldarate_metabolism
56752	ascorbate_and_aldarate_metabolism
71773	ascorbate_and_aldarate_metabolism
72094	ascorbate_and_aldarate_metabolism
72535	ascorbate_and_aldarate_metabolism
94215	ascorbate_and_aldarate_metabolism
94284	ascorbate_and_aldarate_metabolism
100705	fatty_acid_biosynthesis
107476	fatty_acid_biosynthesis
14104	fatty_acid_biosynthesis
223722	fatty_acid_biosynthesis
71147	fatty_acid_biosynthesis
99035	fatty_acid_biosynthesis
106529	fatty_acid_elongation
12686	fatty_acid_elongation
15107	fatty_acid_elongation
170439	fatty_acid_elongation
171210	fatty_acid_elongation
171281	fatty_acid_elongation
171282	fatty_acid_elongation
19063	fatty_acid_elongation
217698	fatty_acid_elongation
231086	fatty_acid_elongation
26897	fatty_acid_elongation
26922	fatty_acid_elongation
52538	fatty_acid_elongation
54325	fatty_acid_elongation
54326	fatty_acid_elongation
54397	fatty_acid_elongation
56348	fatty_acid_elongation
68801	fatty_acid_elongation
70025	fatty_acid_elongation
74559	fatty_acid_elongation
83603	fatty_acid_elongation
93747	fatty_acid_elongation
97212	fatty_acid_elongation
100040843	fatty_acid_metabolism
110446	fatty_acid_metabolism
110460	fatty_acid_metabolism
110695	fatty_acid_metabolism
11363	fatty_acid_metabolism
11364	fatty_acid_metabolism
11370	fatty_acid_metabolism
113868	fatty_acid_metabolism
11409	fatty_acid_metabolism
11430	fatty_acid_metabolism
11522	fatty_acid_metabolism
11529	fatty_acid_metabolism
11532	fatty_acid_metabolism
11669	fatty_acid_metabolism
11671	fatty_acid_metabolism
12894	fatty_acid_metabolism
12895	fatty_acid_metabolism
12896	fatty_acid_metabolism
13117	fatty_acid_metabolism
13118	fatty_acid_metabolism
13119	fatty_acid_metabolism
13177	fatty_acid_metabolism
14081	fatty_acid_metabolism
15107	fatty_acid_metabolism
216739	fatty_acid_metabolism
231086	fatty_acid_metabolism
235674	fatty_acid_metabolism
23986	fatty_acid_metabolism
26876	fatty_acid_metabolism
270076	fatty_acid_metabolism
277753	fatty_acid_metabolism
328845	fatty_acid_metabolism
433256	fatty_acid_metabolism
50790	fatty_acid_metabolism
52538	fatty_acid_metabolism
56752	fatty_acid_metabolism
666168	fatty_acid_metabolism
66885	fatty_acid_metabolism
72535	fatty_acid_metabolism
74147	fatty_acid_metabolism
74205	fatty_acid_metabolism
78070	fatty_acid_metabolism
80911	fatty_acid_metabolism
93747	fatty_acid_metabolism
94180	fatty_acid_metabolism
97212	fatty_acid_metabolism
